num_of_players, total_bet, last_loss, last_revenue, consecutive_wl, last_result,current_result
52,6748300,141681331,267100,4,14.59,1.6
50,19207800,141914665,6083700,-1,1.6,1.2
49,20399300,142618548,7518300,-2,1.2,9.45
53,5743200,160216664,6400,1,9.45,1.01
48,6577500,160216664,5743200,-1,1.01,1.24
41,18230800,160266915,6242500,-2,1.24,1.1
44,58483300,160267301,18226500,-3,1.1,3.91
48,12476200,179682214,1205000,1,3.91,1.39
42,11323600,181747574,6607600,-1,1.39,11.94
45,4460800,194567630,4200,1,11.94,1.52
42,6780500,195421950,2672400,-1,1.52,24.68
49,5627800,203610406,400,1,24.68,1.25
42,10535200,203627985,5456300,-1,1.25,1.03
43,15514400,203627985,10535200,-2,1.03,14
39,3370800,222573852,2800,1,14,1.14
38,3580700,222574440,3364100,-1,1.14,3.27
38,2904300,226762577,2800,1,3.27,2.01
44,4077800,228087014,649000,2,2.01,28.34
43,3309900,231562803,2900,3,28.34,1.15
40,5186100,231569172,3255100,-1,1.15,1.08
43,9602000,231571761,5123200,-2,1.08,17.48
51,1962900,240686591,2600,1,17.48,5.01
43,2762700,243334058,323500,2,5.01,1.93
40,5114000,243506752,2450700,-1,1.93,1.01
45,7804600,243506752,5114000,-2,1.01,2.04
41,4303100,246273670,3791200,1,2.04,17
48,10067300,253794970,2600,2,17,1.41
39,3572700,254186579,1185300,-1,1.41,1.42
45,8152800,254389333,2554400,-2,1.42,4.64
49,3566700,263478703,27300,1,4.64,1.21
37,7060900,263482948,3533400,-1,1.21,3.98
43,5920200,267272347,762500,1,3.98,1.73
45,4917700,267437158,2960500,-1,1.73,3.04
45,1183300,273618245,34900,1,3.04,1.04
41,2568600,273618245,1183300,-1,1.04,2.19
39,3797000,274154070,1795700,1,2.19,1.51
47,6120700,274455913,2484700,-1,1.51,2.06
41,2513100,276135833,3231300,1,2.06,4.68
42,5015900,276682446,1686200,2,4.68,1.31
42,5088900,276716715,4839900,-1,1.31,1.68
47,7534300,277206550,3309500,-2,1.68,4.81
50,3255800,283503349,157200,1,4.81,1.25
40,6232900,283515962,3137400,-1,1.25,1.57
46,14491100,284165166,3381900,-2,1.57,1.05
48,26490000,284165221,14490000,-3,1.05,12.04
53,5263900,317618505,56300,1,12.04,1.39
46,6121200,317710058,4802200,-1,1.39,1.96
44,7912300,319097043,2334300,-2,1.96,1.98
45,15979700,319436540,4541700,1,1.98,4.76
43,2537200,336185816,1004500,2,4.76,1.2
42,2622900,336197855,2457300,-1,1.2,1.46
38,3860800,336317760,1554900,-2,1.46,7.99
52,5690300,343448802,7400,1,7.99,4.52
47,5593800,347768716,1008000,2,4.52,1.25
40,4065100,347846609,4893900,-1,1.25,5.05
52,5248500,348928552,1527900,1,5.05,5.11
45,1613000,360425987,8800,2,5.11,16.77
48,17664200,366718726,8300,3,16.77,1.05
46,4553300,366718801,17662700,-1,1.05,3.87
50,5623000,373317092,107900,1,3.87,6.99
57,6037400,379742257,620500,2,6.99,1.12
43,5586100,379742769,6030300,-1,1.12,1.31
41,4763400,379868692,5083700,-2,1.31,9.26
51,6324000,387608065,472200,1,9.26,1.98
42,3559600,387889055,5769000,2,1.98,22.17
53,2980800,399613246,400,3,22.17,37.28
60,5833100,410331887,2300,4,37.28,1.87
43,4752600,411429184,3621700,-1,1.87,2.1
42,4877600,411712147,3545000,1,2.1,1.06
44,5529800,411715366,4823700,-1,1.06,6.24
49,6280400,421461349,1352200,1,6.24,5.21
51,5816000,429315155,863000,2,5.21,3.17
50,4487500,431764985,2654400,3,3.17,1.38
43,4564000,431771160,4419000,-1,1.38,6.38
51,8610100,435199683,911300,1,6.38,1.76
48,6638700,435312001,8307100,-1,1.76,910.26
50,2554800,452667794,0,1,910.26,22.47
51,9975700,464118834,1100,2,22.47,1.67
51,11877000,465514885,7156700,-1,1.67,1.59
38,7468500,466080639,7658300,-2,1.59,4.47
50,9245200,470124422,2822100,1,4.47,2.84
46,5658200,471013702,5077900,2,2.84,3.29
51,6752500,474184948,803500,3,3.29,21.2
66,9258500,485809261,2300,4,21.2,1.01
48,8602200,485809261,9258500,-1,1.01,7.22
58,13417900,493750036,1102600,1,7.22,1.02
51,11719300,493750036,13417900,-1,1.02,1.68
46,8921300,494224746,7269000,-2,1.68,1.66
45,17194900,495301302,5338300,-3,1.66,1.07
40,20539000,495308314,17094700,-4,1.07,1.55
50,10157800,495635596,19745400,-5,1.55,1.28
39,3963400,496151318,5883800,-6,1.28,124.05
58,6856200,512069613,2200,1,124.05,11.98
48,4522900,540443551,7400,2,11.98,1.55
42,5510700,540624965,4062600,-1,1.55,1.45
39,4923400,540911575,4249300,-2,1.45,1.46
39,5563900,541755514,2556200,-3,1.46,2.95
51,4437400,542971751,2769600,1,2.95,8.86
45,4801800,547921018,252900,2,8.86,2.31
45,4201100,548298560,4218300,3,2.31,2
43,5134600,549142107,3019400,4,2,1.49
41,7629800,549145858,5107400,-1,1.49,1.3
40,5512100,549363523,6461200,-2,1.3,1.7
50,30286100,549883931,4134500,-3,1.7,1.76
50,17257200,553628365,9722700,-4,1.76,11.07
54,6517700,566836551,353100,1,11.07,1.11
49,6657400,566837063,6510600,-1,1.11,1.7
48,8981400,567136156,6003100,-2,1.7,1.34
42,7231200,567406102,7356300,-3,1.34,1.14
47,8333700,567406654,7223900,-4,1.14,1.19
45,5807700,567493751,7787900,-5,1.19,3.14
51,8365600,569697114,2836000,1,3.14,1.1
42,4353000,569697560,8359100,-1,1.1,6.05
37,5533100,570606680,552800,1,6.05,63.2
42,10159300,582265008,0,2,63.2,2.8
44,6551100,584322189,3633200,3,2.8,62.59
54,10948900,599624936,0,4,62.59,3.07
47,6796200,606482047,3241500,5,3.07,1.3
45,9136100,606521583,6602200,-1,1.3,1.06
36,4150300,606521782,9132600,-2,1.06,11.37
51,2980800,618123021,5600,1,11.37,1.3
40,4568500,618188146,2690500,-1,1.3,1.18
42,3984700,618212515,4421100,-2,1.18,4.37
42,3890400,620171653,1615600,1,4.37,4.22
45,7933200,621415335,2506300,2,4.22,3.34
47,5794700,630292155,116300,3,3.34,4.15
47,4399200,631967291,1130800,4,4.15,2.16
44,14765100,632683191,1445500,5,2.16,4.53
53,6557700,643503064,12700,6,4.53,3
48,6899500,644828541,2168800,7,3,2.13
45,12679000,646575555,2856600,8,2.13,1.76
44,6917500,647338927,9465800,-1,1.76,1.44
43,18630500,647916082,2298700,-2,1.44,1.01
44,34147200,647916082,18630500,-3,1.01,2.25
56,11114800,668057733,2289100,1,2.25,1.3
52,5113100,668851979,7166200,-1,1.3,1
38,7199500,668851979,5113100,-2,1,11.62
63,6129600,679000658,400,1,11.62,4.24
51,7653100,681466243,1907300,2,4.24,1.76
43,6964500,682196566,4592200,-1,1.76,1.65
41,15802800,682708412,3136200,-2,1.65,5.13
49,8286100,686511463,2005000,1,5.13,26.29
45,1748400,694026955,300,2,26.29,1.71
40,6570600,694177940,1330800,-1,1.71,6.46
49,6023600,703989467,2500,1,6.46,1.85
47,6435300,705511568,2724500,-1,1.85,1.53
43,5253000,705877080,4529800,-2,1.53,2.44
53,8353800,707334326,2038600,1,2.44,1.87
49,7700600,707515643,7715000,-1,1.87,1.32
50,13589200,708250549,4021000,-2,1.32,2.01
46,5851400,714933446,4299400,1,2.01,1.84
51,10489500,715684103,1928500,-1,1.84,1.78
49,10635400,716543112,6444700,-2,1.78,1.22
48,4593600,717051027,7984300,-3,1.22,1.22
46,2365900,717314314,3137000,-4,1.22,2.4
52,4798600,718587769,509000,1,2.4,1.07
50,5473400,718587995,4794600,-1,1.07,1.43
53,16459800,719141326,2602500,-2,1.43,1.36
48,5520800,720280842,2543300,-3,1.36,1.02
56,17559700,720280842,5520800,-4,1.02,53.25
50,6630700,730583995,91200,1,53.25,1.15
43,17153800,730636883,5979800,-1,1.15,1.17
40,3152200,730774708,15957600,-2,1.17,1.72
39,3231900,731468335,127700,-3,1.72,7.79
45,4931400,733059055,500,1,7.79,1.11
37,3805300,733059443,4926500,-1,1.11,3.75
43,6249600,733990856,1008200,1,3.75,1.91
42,4599500,734682012,3039900,-1,1.91,2
37,4196300,736653331,519300,1,2,17.31
51,7950900,738142480,3500,2,17.31,17.76
60,7319400,745415561,3200,3,17.76,2.1
47,6292600,747274618,2601000,4,2.1,2.06
45,9247500,747999509,3126900,5,2.06,1.86
44,6093100,750936395,2827000,-1,1.86,5.24
54,10022300,753378105,5300,1,5.24,4.13
47,6438700,762752281,1600,2,4.13,2.78
45,4987900,764250109,2314600,3,2.78,1.39
45,13202000,764791881,2340400,-1,1.39,1.75
41,4245300,766660475,6693300,-2,1.75,6.88
53,29768700,767809557,2600,1,6.88,2.87
40,4605000,777332010,1017900,2,2.87,19.47
58,10051500,781320717,2700,3,19.47,1.23
43,3683000,781873241,7220700,-1,1.23,2.5
50,13737100,782599066,499500,1,2.5,1.03
50,39302000,782599066,13737100,-1,1.03,1.8
48,9228000,787494669,22864200,-2,1.8,1.51
43,35872400,788758922,4480100,-3,1.51,1.16
40,7589100,789019920,30661000,-4,1.16,2.86
49,21961600,794378475,1061600,1,2.86,8.69
58,27980500,802715645,12200,2,8.69,1.18
44,6037000,802847065,26630200,-1,1.18,4.85
53,46910600,807423082,65700,1,4.85,1.26
46,6650500,810133717,33264900,-1,1.26,1.13
47,13379000,810134125,6645600,-2,1.13,4
44,9565300,823285897,1008000,1,4,1.27
37,2548500,823992070,6029200,-1,1.27,9.35
48,10320500,826481209,9700,1,9.35,1.4
42,14942600,826528038,10150200,-1,1.4,1.73
44,26789600,827490853,10789100,-2,1.73,1.86
46,33996500,834805568,9127200,-3,1.86,19.02
56,12978500,871385235,10200,1,19.02,4.11
47,9104100,879785769,1301000,2,4.11,2.42
45,8578700,881967491,4128400,3,2.42,4.39
61,12780400,887456069,1308800,4,4.39,1.34
47,4119800,888074311,9675900,-1,1.34,4.47
56,6775500,889284171,1708800,1,4.47,3.75
56,8773200,892305741,2321900,2,3.75,1.07
51,27607100,892306777,8755700,-1,1.07,1.16
53,7865000,893069043,12505800,-2,1.16,12.04
64,9454500,910437638,8200,1,12.04,1.46
51,8056100,911375372,5563400,-1,1.46,1.15
49,19218700,911379629,7997700,-2,1.15,1.33
50,16616600,912407285,12931700,-3,1.33,1.12
50,19387800,912410828,16571500,-4,1.12,6.81
58,6287800,929144992,8300,1,6.81,1.16
50,5855400,929281044,5232000,-1,1.16,1.23
45,6728100,929797827,3216600,-2,1.23,2.17
49,11030700,931151364,2749200,1,2.17,1.4
46,6604500,931418932,9976800,-1,1.4,2.42
52,11876200,932736855,2295000,1,2.42,4.82
54,5766300,945440031,1045800,2,4.82,2.16
52,5811000,946405781,2039000,3,2.16,1.96
51,13358200,947291276,2384800,-1,1.96,15.99
62,5410300,961610178,2800,1,15.99,8.05
54,11208000,964327061,453500,2,8.05,5.73
51,4755800,975037471,20900,3,5.73,2.26
60,10288800,976046263,1174900,4,2.26,2.57
53,7113800,984205921,1005200,5,2.57,1.96
47,7936600,984786225,4277800,-1,1.96,1.03
43,2389100,984786225,7936600,-2,1.03,1.16
45,6010000,984800626,2182400,-3,1.16,12.95
57,17628200,991707780,13700,1,12.95,30.02
60,8614900,1007329404,3000,2,30.02,1.37
49,3172400,1008213420,4102700,-1,1.37,3.05
52,7434200,1009853248,1217300,1,3.05,5.14
52,6768000,1013266055,1239700,2,5.14,1.23
52,9537100,1013787839,4051900,-1,1.23,1.04
46,13111000,1013787839,9537100,-2,1.04,1.24
44,21532900,1014026044,10880700,-3,1.24,1.26
48,28115600,1014045706,21311300,-4,1.26,2.04
54,35358400,1021794392,5490000,1,2.04,40.13
66,22172300,1043622876,0,2,40.13,8.44
48,11829700,1057099008,1421400,3,8.44,2.11
38,4395400,1063909573,3338600,4,2.11,12.36
56,3608700,1074792722,200,5,12.36,1.07
43,3317600,1074795254,3546100,-1,1.07,2.66
50,12524900,1075332265,1483500,1,2.66,1.03
51,24794500,1075332265,12524900,-1,1.03,4.43
48,17219100,1087587089,1701000,1,4.43,1.16
47,27399600,1087587736,17211100,-1,1.16,3.51
46,2837100,1108128070,143100,1,3.51,1.29
52,9478000,1108135808,2730500,-1,1.29,1.48
45,10914700,1108846714,6194100,-2,1.48,11.29
56,8585400,1113500033,342600,1,11.29,8.31
42,4982000,1124718786,44400,2,8.31,1.57
38,5997400,1125374004,2103800,-1,1.57,2.22
53,5872000,1126062021,3001100,1,2.22,1.69
53,10231100,1127206555,1835000,-1,1.69,1.4
50,12099600,1127769535,7474600,-2,1.4,3.43
49,8621400,1135087046,1706800,1,3.43,6.94
47,5053200,1145587249,602500,2,6.94,2.48
43,5027500,1147090384,1284900,3,2.48,1.17
44,3100400,1147095684,4959300,-1,1.17,1.25
47,17293100,1147105620,2955800,-2,1.25,2.28
49,5933800,1150690166,2196800,1,2.28,2.95
49,6711800,1151586471,2389700,2,2.95,7.73
50,2248900,1161376780,33000,3,7.73,4.25
56,11070600,1162037706,1318900,4,4.25,1.17
47,4112600,1162039059,11059400,-1,1.17,1.73
43,16572900,1162269811,3426600,-2,1.73,2.23
48,10196700,1165518039,1817500,1,2.23,3.41
46,5778200,1175380279,25000,2,3.41,1.09
42,3547500,1175461751,4743100,-1,1.09,21.64
51,5962600,1183987962,2500,1,21.64,1.05
50,8089100,1183988137,5959100,-1,1.05,4.08
43,7415200,1190977818,3514500,1,4.08,82.94
52,10015500,1201980430,200,2,82.94,1.06
45,7355700,1201981215,10002000,-1,1.06,1.1
44,11738900,1201987877,7162100,-2,1.1,1.62
49,21953000,1203069998,7393100,-3,1.62,2.4
52,21307200,1210187116,4019000,1,2.4,5.09
52,3189700,1232749422,18500,2,5.09,2.05
49,7445700,1234665163,887300,3,2.05,1.43
46,4125600,1235213036,4802600,-1,1.43,1.42
41,7091000,1235787870,1145500,-2,1.42,6.59
56,12255400,1248338447,39400,1,6.59,1.99
49,8802700,1250299586,5394500,2,1.99,2.6
50,8671500,1254081679,1456400,3,2.6,9.03
56,10846200,1265883569,32800,4,9.03,1.56
46,8705500,1266068525,10378600,-1,1.56,1.11
50,9638600,1266069807,8689300,-2,1.11,1.09
47,26233800,1266070863,9624600,-3,1.09,1.21
42,23056100,1266129866,25768900,-4,1.21,3.72
56,7668700,1274419834,2829000,1,3.72,1.8
55,21808100,1274570123,7026500,-1,1.8,1.52
44,11434300,1277347812,8412000,-2,1.52,1.57
49,32626500,1278828025,5792100,-3,1.57,1.26
46,20942000,1279370888,29757100,-4,1.26,1.79
47,9918800,1280089990,17710000,-5,1.79,7.63
45,10754000,1292779230,23300,1,7.63,1.34
45,8373800,1293317142,8087800,-1,1.34,3.35
51,7596400,1294799187,3721700,1,3.35,11.81
61,4174500,1307321257,59600,2,11.81,1.15
45,6921400,1307328235,4105100,-1,1.15,1.89
50,12297300,1308057755,3560700,-2,1.89,1.14
49,18931900,1308059569,12263900,-3,1.14,2.49
48,17545300,1312147836,2284900,1,2.49,2.14
55,14682700,1323961246,1021100,2,2.14,3.22
53,16374200,1331860090,1951800,3,3.22,1.11
44,7634900,1332871658,7160900,-1,1.11,2.13
48,6996000,1333649980,1798100,1,2.13,1.08
50,19340000,1333650703,6976500,-1,1.08,1.27
45,8399800,1336184585,6435900,-2,1.27,1.78
47,9317500,1337568983,3002000,-3,1.78,3.79
50,7488100,1339703439,3446500,1,3.79,2.17
48,8934700,1341474289,2166600,2,2.17,2.59
46,6170100,1343032422,4091200,3,2.59,1.12
48,5068000,1343033302,6149300,-1,1.12,9
56,4139900,1354818031,8600,1,9,1.04
53,7404100,1354818490,4124600,-1,1.04,1.08
47,7144900,1354826964,7288800,-2,1.08,9.42
50,5649900,1357683307,1084300,1,9.42,1.91
51,19237200,1358295994,3762000,-1,1.91,1.09
50,17497600,1358310396,19066500,-2,1.09,1.99
45,10048500,1359837856,14995500,1,1.99,1.37
44,4855000,1360886145,6008200,-1,1.37,3.64
44,8850700,1363019255,1067800,1,3.64,1.14
45,7313300,1363020858,8822200,-1,1.14,3.25
40,6985400,1364567319,1409100,1,3.25,2.32
42,6789900,1365195094,3524800,2,2.32,15.11
53,16402500,1366969223,1103800,3,15.11,27.55
48,8403300,1383731060,58100,4,27.55,92.82
51,4598100,1388285316,57700,5,92.82,1.55
48,9920400,1388623254,2331100,-1,1.55,2.08
52,10210900,1391003472,2335300,1,2.08,1.28
50,8306400,1391964230,5595400,-1,1.28,1.24
42,6513200,1393118150,2740800,-2,1.24,2.1
48,9836000,1394335593,2785700,1,2.1,1
45,13112700,1394335593,9836000,-1,1,2.35
46,6637800,1397002747,1635900,1,2.35,1.07
48,7077900,1397002829,6636200,-1,1.07,1.72
41,10544200,1397694386,5652400,-2,1.72,9.88
48,18617700,1403610932,601300,1,9.88,1.07
45,9819400,1403611476,18600900,-1,1.07,1.13
48,10045900,1403656512,9022200,-2,1.13,1.05
44,38692000,1403657017,10029800,-3,1.05,7.05
42,5315200,1420093005,134700,1,7.05,5.51
45,14447800,1421713817,438100,2,5.51,1.97
38,7099500,1426190069,347700,0,1.97,11.81
47,5733900,1428041159,122400,1,11.81,1.74
43,768000,1430262111,594300,-1,1.74,10.35
41,3583400,1431056430,53400,1,10.35,1.81
43,5683500,1431447752,1570000,-1,1.81,1.02
44,17585500,1431447752,5683500,-2,1.02,3.33
42,6585500,1444380494,58400,1,3.33,1.65
43,2750400,1447134139,580200,-1,1.65,1.52
46,6387200,1447446626,605800,-2,1.52,1.84
41,4252800,1448036249,2859900,-3,1.84,3.14
46,5083300,1451061721,53000,1,3.14,1.06
44,3561800,1451062302,5065700,-1,1.06,4.99
40,6275800,1452943272,9100,1,4.99,1.13
43,10314000,1452943596,6271000,-1,1.13,1.56
38,2603100,1453778377,7792400,-2,1.56,1.04
44,4647500,1453778377,2603100,-3,1.04,3.73
44,2579400,1455904939,61000,1,3.73,2.98
42,2092700,1457652389,47500,2,2.98,1.61
38,1620500,1457864282,1041300,-1,1.61,4.6
45,671900,1458945281,13400,1,4.6,1.87
43,8856800,1459063659,367700,-1,1.87,6.05
38,7391800,1466000449,16000,1,6.05,1.09
45,20376600,1466000707,7387600,-1,1.09,3.42
39,1177600,1478458570,67100,1,3.42,2.17
43,4655000,1478719831,60900,2,2.17,5.01
43,545300,1480975687,43500,3,5.01,1.26
42,2454300,1480978658,513400,-1,1.26,4.4
47,4864700,1481716073,37000,1,4.4,1.24
49,2898600,1482031018,2432900,-1,1.24,1.91
40,514500,1482366327,1605300,-2,1.91,1.75
44,2706700,1482397142,444300,-3,1.75,4.3
41,2246200,1484471917,72400,1,4.3,8.39
41,1119300,1487537812,6000,2,8.39,1.85
38,1290500,1487892908,125100,-1,1.85,1.77
38,729600,1488143234,121200,-2,1.77,1.04
40,3149700,1488143234,729600,-3,1.04,1.05
41,4644300,1488143234,3149700,-4,1.05,8.37
44,3122600,1492710325,6300,1,8.37,5.16
42,2012600,1496008770,106700,2,5.16,1.47
35,640000,1496225495,860400,-1,1.47,1.98
37,1525800,1496338220,258900,1,1.98,5.18
47,2525300,1497153050,10300,2,5.18,2.91
41,438000,1498437975,58100,3,2.91,1
40,417500,1498437975,438000,-1,1,4.13
47,1629900,1498654236,8200,1,4.13,93.7
43,305700,1500217677,2100,2,93.7,22.98
43,3457800,1500524793,2300,3,22.98,3.15
48,2929200,1503697163,107700,4,3.15,1.09
40,707700,1503760374,884600,-1,1.09,3.97
43,2826500,1504569250,12400,1,3.97,1.03
46,4997200,1504569250,2826500,-1,1.03,1.85
36,497900,1507361083,1565900,-2,1.85,5.28
40,1417200,1507968865,12600,1,5.28,1.76
45,1809800,1508005480,1275100,-1,1.76,1.41
42,3950500,1508210505,780500,-2,1.41,1.01
39,2198700,1508210505,3950500,-3,1.01,1
39,2952900,1508210505,2198700,-4,1,1.26
36,4895600,1508300039,1694600,-5,1.26,1.4
38,3696700,1508344737,2188300,-6,1.4,14.38
37,1764800,1515064331,11900,1,14.38,1.25
37,3547000,1515068698,1735700,-1,1.25,3.45
39,5215200,1518509149,127900,1,3.45,1.25
39,6277700,1518512462,5189800,-1,1.25,1.72
38,8696600,1519425485,4706000,-2,1.72,1.22
37,22971900,1519466338,8421000,-3,1.22,1.88
38,18704000,1522012951,17520200,-4,1.88,18.88
38,5187700,1550874006,10400,1,18.88,2.92
39,5908500,1555602626,1316600,2,2.92,1.69
39,4468400,1555686657,5460300,-1,1.69,2.71
42,6637600,1559025558,888000,1,2.71,1.78
44,6938600,1559120742,6297800,-1,1.78,1.06
39,12736700,1559120853,6936400,-2,1.06,1.39
40,29880100,1559317783,11469000,-3,1.39,1.99
42,23271200,1577056002,11620300,1,1.99,2.11
42,8794400,1589063374,3365000,2,2.11,1.15
40,6542900,1589067839,8712900,-1,1.15,3.55
35,6755600,1595640179,1957500,1,3.55,3
37,6443800,1598171009,3070700,2,3,8.38
39,8402100,1608862463,2800,3,8.38,1
38,29100800,1608862463,8402100,-1,1,4.44
39,10148500,1614592144,2903100,1,4.44,2.88
40,10934000,1616067720,3425600,2,2.88,1.28
44,11079900,1617550935,3396000,-1,1.28,1.13
41,12969100,1617648923,9892900,-2,1.13,1.01
39,6388100,1617648923,12969100,-3,1.01,3.86
39,54689700,1627362108,1005000,1,3.86,1.09
38,18195500,1627362580,54683600,-1,1.09,1.84
40,8499900,1637166078,2413400,-2,1.84,2.37
40,10704600,1638353543,4359700,1,2.37,3.11
38,6954600,1644959222,434100,2,3.11,1.33
36,6171400,1645461727,4437700,-1,1.33,4.54
49,24045600,1649327364,607800,1,4.54,157
46,4745400,1658776800,2400,2,157,2.35
40,2917200,1660279396,950300,3,2.35,3.35
47,3158900,1661512895,1615800,4,3.35,2.59
43,19607500,1663001770,933600,5,2.59,5.17
44,4376100,1670579351,15200,6,5.17,3.59
45,6777100,1671513620,944300,7,3.59,8
47,4994900,1676367910,13800,8,8,6.4
46,16389600,1678152119,694300,9,6.4,17.52
43,2327800,1693542895,13300,10,17.52,1.77
38,2859700,1693686290,1715700,-1,1.77,2.12
44,7107700,1694398948,2007000,1,2.12,1.04
38,5615600,1694398948,7107700,-1,1.04,3.17
30,8612500,1699222290,1625700,1,3.17,92.32
42,8613200,1710036360,2700,2,92.32,1.61
39,7656900,1710619255,4541200,-1,1.61,3.28
43,6176500,1716113506,1421400,1,3.28,2.11
39,7923900,1717164103,2559100,2,2.11,4.13
41,4671000,1718550251,1803800,3,4.13,9.3
47,11377400,1727201083,3100,4,9.3,1.74
40,18461000,1729179371,6091600,-1,1.74,6.65
42,4955700,1736841876,892800,1,6.65,1.52
48,12934200,1737392775,2175700,-1,1.52,1.17
41,18644100,1737408844,12776400,-2,1.17,1.24
39,22910100,1739951233,5845400,-3,1.24,1.35
41,26363200,1741524772,5106100,-4,1.35,1.62
44,23274400,1747406101,6469100,-5,1.62,1.93
46,5285000,1753344367,3342800,-6,1.93,4.29
38,5265400,1758012385,21100,1,4.29,1.01
39,889800,1758012385,5265400,-1,1.01,96.67
40,5060300,1764228513,4000,1,96.67,257.71
49,8824500,1774401905,2100,2,257.71,1.09
45,4738800,1774702977,3798400,-1,1.09,5.44
47,7830300,1776461927,366600,1,5.44,16.58
50,3418900,1787970161,10300,2,16.58,1.46
50,9090300,1788324361,997500,-1,1.46,2.2
46,8968600,1792525601,970900,1,2.2,1.32
47,3846600,1793050108,6231800,-1,1.32,10.99
47,4030300,1798125351,11000,1,10.99,2.09
48,6417700,1798793474,767300,2,2.09,1.13
51,21381100,1798829732,5960200,-1,1.13,1.25
43,20007900,1798878086,20849300,-2,1.25,1.02
42,43913300,1798878086,20007900,-3,1.02,1.04
45,45492500,1798888086,43663300,-4,1.04,1.14
43,26190200,1798894956,45429500,-5,1.14,2.96
49,20411400,1810009425,1928300,1,2.96,2.51
48,11468700,1814114862,2928500,2,2.51,1.12
44,6845300,1814681438,6211900,-1,1.12,1.05
44,4884500,1814681443,6845200,-2,1.05,32.65
49,12422200,1825329004,2500,1,32.65,1.57
49,5686200,1825488034,11134000,-1,1.57,1.32
52,4457900,1826032508,3349200,-2,1.32,1.17
45,18530400,1826071556,4005700,-3,1.17,5.63
51,5579800,1836488716,701400,1,5.63,1.35
42,2699500,1836563811,5030200,-1,1.35,2.04
49,7005300,1836931680,1043300,1,2.04,5.09
45,6915200,1842423873,1025100,2,5.09,5.56
49,4272500,1854797455,6700,3,5.56,2.9
48,5300600,1856397690,1840600,4,2.9,1.23
47,2748800,1856476757,4643200,-1,1.23,3.31
52,10295500,1857542133,1320800,1,3.31,1.93
49,3212400,1860367637,5887400,-1,1.93,2.31
48,19841400,1860936936,1244600,1,2.31,7.12
48,27201600,1877323153,4600,2,7.12,1.11
48,21453200,1878015598,8922200,-1,1.11,4.86
52,6693600,1889798236,1263100,1,4.86,1.45
52,6406200,1889860006,6370900,-1,1.45,1.09
49,7304800,1889860238,6402500,-2,1.09,9.67
49,2968500,1904505150,3900,1,9.67,1
45,5354200,1904505150,2968500,-1,1,1.79
47,3544500,1905514402,1742300,-2,1.79,1.72
44,3816500,1905712965,2743400,-3,1.72,3.88
44,4055300,1908503256,1006300,1,3.88,26.7
53,2740500,1918917276,2300,2,26.7,13.89
49,4263900,1930288012,8700,3,13.89,2.48
51,4454100,1932613897,1687300,4,2.48,5.03
52,6411900,1933929269,3108300,5,5.03,13.4
54,4325400,1947452907,4900,6,13.4,1.32
46,2794200,1947476962,4215400,-1,1.32,1.09
45,7308300,1947477518,2786400,-2,1.09,1.37
44,17301600,1947523005,7069500,-3,1.37,7.47
50,7154300,1950755625,1002900,1,7.47,2.04
50,3214900,1952996230,4766800,2,2.04,1.05
49,2261200,1952996414,3211200,-1,1.05,1.05
